CCBBB 	CC 	CCCFB
CCFFBBBBB 	CCC 	CCCFFFFBB
CCFFFBBBBBBB 	CCCCC 	CFFFFFFFFBBB
FFFFFFBBBBBBBBBB 	CCCCCC 	CFFFFFFFFFFFBBB
FFFFFFFBBBBBBBBBBBB 	CCCCCCCC 	FFFFFFFFFFFFFFBBB
CCFFFFFFFBBBBBBBBBBBBB 	CCCCCCCCC 	CFFFFFFFFFFFFFFFFBBB
CCFFFFFFFFBBBBBBBBBBBBBBB 	CCCCCCCCCCC 	FFFFFFFFFFFFFFFFFFFBBB
FFFFFFFFFFFBBBBBBBBBBBBBBBBBB 	CCCCCCCCCCCC 	FFFFFFFFFFFFFFFFFFFFFFBBB
FFFFFFFFFFFFBBBBBBBBBBBBBBBBBBBB 	CCCCCCCCCCCCCB 	FFFFFFFFFFFFFFFFFFFFFFFFBBB
FFFFFFFFFFFFFBBBBBBBBBBBBBBBBBBBBBB 	CCCCCCCCCCCCCCC 	FFFFFFFFFFFFFFFFFFFFFFFFFFFBBB
